zip,zip_population_2010,zip_land_area_2010,primary_RUCA_code_2010,zip_population_density_2010,rural_urban_class
00501,3355.0,1.09303093296185,1.0,3069.446526008884,urban
00601,15448.0,35.44102713989416,1.0,435.8790149908204,urban
00602,15098.0,10.17525988537399,1.0,1483.7950253931108,urban
00603,44653.0,21.209545758513173,1.0,2105.3256165128855,urban
00604,3687.0,3.98903353992374,1.0,924.2840309812201,urban
00605,4428.0,0.870414457518722,1.0,5087.231676531243,urban
00606,6276.0,36.622510220124596,7.0,171.37001156603534,rural
00610,20948.0,16.645086386500633,1.0,1258.5095393069923,urban
00611,5031.0,29.4594044451171,1.0,170.7773831400006,urban
00612,99560.0,128.44930092340192,1.0,775.0918010785481,urban
00613,5120.0,0.967723788681647,1.0,5290.765877498059,urban
00614,3868.0,0.761524377719125,1.0,5079.285855017822,urban
00616,5256.0,4.31375048841925,1.0,1218.429302786595,urban
00617,31588.0,23.989347440992013,1.0,1316.7511153731393,urban
00622,4995.0,19.2562610328696,1.0,259.3961512815885,urban
00623,52096.0,68.63846782301691,1.0,758.9913011218232,urban
00624,21775.0,25.500489577557886,1.0,853.9051743996099,urban
00627,22037.0,15.026400894521519,1.0,1466.5521141549257,urban
00631,2248.0,11.3436552601788,10.0,198.17245397887444,rural
00637,25265.0,35.83272586591137,1.0,705.0817203955803,urban
00638,12286.0,16.64838794619895,1.0,737.9693481256879,urban
00641,26086.0,51.206223735399576,1.0,509.43026251643676,urban
00646,49912.0,28.650924637488668,1.0,1742.072921957011,urban
00647,11345.0,17.8317494135108,1.0,636.224732465346,urban
00650,33186.0,22.950586257542497,1.0,1445.9761344481442,urban
00652,5178.0,7.03506657173701,1.0,736.0271501626336,urban
00653,11265.0,11.043818349737524,1.0,1020.0276429091875,urban
00656,14588.0,24.59854331371421,1.0,593.0432470717435,urban
00659,47147.0,43.23343081126244,1.0,1090.521828022912,urban
00660,20598.0,11.845361059587923,1.0,1738.908581712457,urban
00662,51120.0,60.48845554496775,1.0,845.1199413084181,urban
00664,16642.0,44.53311559744673,4.0,373.6994319111631,rural
00667,25753.0,59.9526546068939,1.0,429.55562466517847,urban
00669,10148.0,7.189380028015576,1.0,1411.5264404517877,urban
00670,7281.0,24.52352443331788,1.0,296.8985970918588,urban
00674,65717.0,58.03489050914521,1.0,1132.3705347500265,urban
00676,17995.0,20.210165452504068,1.0,890.3935023337671,urban
00677,21179.0,18.86571250523168,1.0,1122.6186126883265,urban
00678,25919.0,22.68263945624454,1.0,1142.6800681639581,urban
00680,64144.0,32.92442629077818,1.0,1948.21921674505,urban
00681,4162.0,0.375741895329245,1.0,11076.752557371954,urban
00682,52660.0,49.17559926918575,1.0,1070.856294231225,urban
00683,25078.0,23.19338236316153,1.0,1081.2566967305227,urban
00685,27031.0,40.25254325502664,1.0,671.5352078188112,urban
00687,48664.0,43.68684603944107,1.0,1113.927976308143,urban
00688,3089.0,14.9569480630798,1.0,206.52608987959144,urban
00690,8713.0,3.9083165636288664,1.0,2229.3485847804486,urban
00692,48527.0,35.9008006986905,1.0,1351.6968718129465,urban
00693,67701.0,54.311650092587314,1.0,1246.5281368654296,urban
00694,5835.0,1.2153067890662,1.0,4801.256812268295,urban
00698,43734.0,53.90501886495226,1.0,811.3159205002113,urban
00703,21421.0,21.44535380086707,1.0,998.8643786857886,urban
00704,15917.0,19.937486196847278,1.0,798.3453802975904,urban
00705,26654.0,21.420903880635752,1.0,1244.298566882367,urban
